"Age","LoanAmount100k","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default","Income100k"
21,1.58131,648,58,4,15.25,60,"Bachelor's","Unemployed","Single","Yes",0,0.86718
62,0.86044,334,115,2,24.99,60,"Bachelor's","Part-time","Single","Yes",0,1.03933
48,2.12875,774,39,2,19.67,36,"PhD","Unemployed","Married","Yes",0,0.41827
19,0.91648,505,30,1,10.82,60,"High School","Self-employed","Single","No",0,1.42262
50,1.42163,498,54,3,8.67,36,"Master's","Unemployed","Married","Yes",0,1.12256
44,2.31859,371,20,1,19.97,60,"High School","Self-employed","Married","No",0,0.67687
33,2.31942,383,39,4,24.2,60,"Master's","Self-employed","Single","Yes",0,0.92157
31,2.15348,543,11,2,5.82,60,"High School","Part-time","Married","No",1,0.41763
25,2.01235,503,21,2,7.66,48,"Bachelor's","Self-employed","Married","No",0,0.85885
41,0.33473,347,29,1,13.97,48,"PhD","Unemployed","Divorced","No",0,0.63482
56,1.28407,520,110,1,19.64,48,"Master's","Part-time","Single","No",0,0.30848
62,2.26551,792,40,4,14.01,48,"High School","Full-time","Married","Yes",0,1.03847
33,1.70472,389,61,1,24.04,12,"PhD","Full-time","Divorced","No",1,0.39282
49,0.29335,468,74,2,11.79,12,"PhD","Unemployed","Divorced","Yes",0,1.35564
60,1.38029,483,73,4,24.33,48,"Master's","Self-employed","Single","No",0,0.37775
21,1.6514,651,97,4,4.58,48,"Bachelor's","Self-employed","Divorced","No",0,0.30565
47,0.63676,554,89,3,8.18,24,"Master's","Unemployed","Married","No",0,1.39896
69,0.81107,450,58,1,2.62,60,"Bachelor's","Part-time","Single","No",0,0.41769
68,0.24094,620,118,2,11.37,48,"High School","Part-time","Single","Yes",0,0.25414
56,0.68275,353,3,3,19.35,12,"Bachelor's","Part-time","Married","Yes",0,0.30095
53,0.12429,768,44,2,7.36,12,"Master's","Self-employed","Married","No",0,0.7718
38,1.11206,431,56,1,9.37,12,"Master's","Self-employed","Divorced","No",0,0.15301
29,1.19206,524,56,1,13.84,48,"PhD","Self-employed","Single","Yes",0,1.31778
19,2.17456,736,100,1,4.62,24,"PhD","Self-employed","Single","No",0,0.53645
34,0.27417,782,2,1,10.17,60,"Bachelor's","Unemployed","Divorced","No",0,0.27269
68,0.15663,841,10,1,24.79,12,"Bachelor's","Self-employed","Divorced","Yes",0,0.22055
68,0.27992,691,44,2,3.31,12,"Master's","Unemployed","Single","No",0,0.817
45,1.29784,755,48,4,15.05,12,"Bachelor's","Self-employed","Single","No",0,0.94427
21,2.48588,456,22,1,21.9,36,"PhD","Self-employed","Single","No",0,0.31566
64,2.37655,674,53,2,2.04,24,"Master's","Unemployed","Single","No",0,1.33062
31,1.269,366,85,3,21.04,48,"PhD","Full-time","Divorced","Yes",0,0.30073
68,0.3729,381,24,4,23.48,48,"PhD","Unemployed","Single","Yes",1,0.35706
34,1.12408,624,5,1,2.91,12,"PhD","Self-employed","Divorced","No",0,1.44033
49,1.53,420,74,3,4.23,60,"PhD","Unemployed","Married","No",0,0.88449
59,1.54439,505,41,4,14.57,48,"Bachelor's","Self-employed","Single","No",0,0.20881
24,0.57072,673,36,4,2.71,36,"Master's","Self-employed","Single","No",0,0.21699
20,1.0163,302,2,1,18.37,36,"Master's","Part-time","Divorced","Yes",0,0.65903
42,0.0925,688,64,1,19.5,24,"Bachelor's","Self-employed","Married","No",0,0.85245
51,1.75107,792,72,3,14.12,60,"Bachelor's","Self-employed","Divorced","Yes",0,1.10604
59,0.97849,491,18,4,22.32,48,"Master's","Unemployed","Single","Yes",0,1.39869
54,1.93216,843,100,2,3.41,36,"High School","Self-employed","Divorced","Yes",0,0.22902
28,0.80907,541,10,4,19.34,12,"Bachelor's","Full-time","Single","No",0,1.02115
39,1.6929,519,115,4,5.23,12,"High School","Full-time","Single","Yes",0,1.40211
33,2.40004,390,70,3,20.04,12,"High School","Part-time","Single","Yes",0,0.59274
35,0.88073,400,114,4,2.58,48,"Bachelor's","Unemployed","Divorced","No",0,0.22234
65,1.90084,665,28,1,2.69,60,"High School","Part-time","Married","No",0,1.18949
51,2.33892,669,95,2,19.96,12,"High School","Full-time","Single","No",0,0.78009
63,0.83243,740,24,2,24.62,36,"High School","Unemployed","Married","Yes",0,0.6635
18,2.1896,807,42,3,19.45,36,"Bachelor's","Part-time","Single","No",1,0.20937
52,2.27884,444,44,2,5.78,24,"Bachelor's","Unemployed","Married","Yes",0,1.49055
27,1.94801,783,118,2,6.29,36,"High School","Self-employed","Married","Yes",0,0.97018
66,2.27143,541,114,1,18.94,12,"Bachelor's","Part-time","Single","No",0,0.64059
46,0.57962,618,96,3,7.68,48,"High School","Self-employed","Divorced","Yes",0,0.35996
34,0.41134,723,84,2,3.13,12,"Master's","Self-employed","Single","No",0,1.28547
47,2.00569,786,23,1,13.12,36,"Bachelor's","Self-employed","Married","Yes",0,0.24251
41,0.42812,584,76,3,13.4,36,"PhD","Self-employed","Divorced","No",0,1.17152
66,1.23044,770,91,4,7.95,24,"Master's","Unemployed","Single","No",0,0.73662
57,1.73625,464,47,4,21.09,60,"PhD","Self-employed","Single","Yes",1,0.23803
25,0.70589,754,28,3,3.19,24,"PhD","Part-time","Married","No",0,1.37108
52,0.91071,801,31,4,9.1,48,"High School","Part-time","Married","Yes",0,0.99305
43,0.8688,710,92,3,2.43,12,"PhD","Unemployed","Married","Yes",1,0.15289
21,1.58281,721,21,4,17.57,36,"Master's","Unemployed","Single","Yes",1,1.24554
56,0.18181,385,73,2,19.15,12,"High School","Self-employed","Single","Yes",0,0.32805
57,0.19936,337,5,3,3.43,48,"Master's","Unemployed","Single","Yes",0,0.75274
36,1.83292,542,44,4,5.44,36,"Bachelor's","Unemployed","Single","No",0,0.70231
58,0.82299,562,2,2,18.42,60,"Bachelor's","Unemployed","Married","Yes",0,0.27712
29,0.35412,569,119,4,12.7,60,"Master's","Full-time","Single","No",0,1.25366
68,0.45582,541,61,4,15.94,48,"Bachelor's","Unemployed","Married","No",0,0.21486
59,1.09551,721,22,1,2.02,48,"High School","Part-time","Married","No",0,1.11834
42,2.32225,742,23,2,23.86,24,"PhD","Unemployed","Married","Yes",0,0.57246
45,2.09533,438,89,2,7.16,24,"High School","Self-employed","Single","Yes",0,1.47848
30,0.62371,316,34,3,22.74,48,"Bachelor's","Self-employed","Married","No",0,1.04294
42,1.75559,773,110,3,2.33,12,"Master's","Full-time","Divorced","No",0,0.40494
50,1.56794,300,112,3,5.59,12,"Master's","Unemployed","Divorced","No",0,0.70979
55,0.60428,797,78,4,18.82,36,"High School","Part-time","Single","No",0,0.51179
18,1.83518,721,20,2,18.11,24,"High School","Full-time","Married","No",0,1.46962
33,2.08248,436,118,3,23.27,48,"Master's","Self-employed","Married","No",0,1.20463
48,1.07532,317,46,3,17,24,"Master's","Unemployed","Single","No",0,0.31252
40,2.25811,442,65,3,3.13,60,"Master's","Full-time","Married","Yes",0,0.63185
20,2.27399,379,102,3,13.63,12,"Bachelor's","Self-employed","Married","No",0,0.98844
69,0.81252,346,90,2,2.13,24,"High School","Unemployed","Divorced","Yes",0,1.30678
55,0.4637,351,59,2,12.41,48,"PhD","Full-time","Single","No",0,1.04689
57,1.93658,514,110,4,16.09,24,"Bachelor's","Unemployed","Married","No",0,1.20152
44,0.48604,359,37,1,8.5,60,"Master's","Self-employed","Single","No",0,0.32389
21,0.19965,536,42,3,9.39,60,"PhD","Full-time","Divorced","No",0,0.85482
19,1.81682,723,36,4,10.95,36,"PhD","Self-employed","Single","Yes",0,0.97389
20,0.33794,584,80,2,6.42,60,"Bachelor's","Full-time","Married","Yes",0,1.3421
46,1.78349,332,101,4,2.97,48,"PhD","Self-employed","Divorced","Yes",0,0.74471
33,2.04379,450,80,1,18.06,60,"PhD","Self-employed","Single","Yes",0,0.78829
52,1.98847,489,0,4,13.3,12,"Master's","Part-time","Divorced","No",0,1.10217
25,1.29731,370,105,4,5.82,24,"PhD","Unemployed","Married","No",0,0.98088
63,2.28925,795,43,1,23.04,36,"Master's","Unemployed","Divorced","No",0,1.35019
38,2.27305,365,73,3,3.21,24,"PhD","Self-employed","Single","Yes",0,0.61537
33,0.36972,306,117,3,14.5,36,"Bachelor's","Part-time","Single","No",0,1.04494
23,1.61142,313,107,4,7.63,60,"PhD","Unemployed","Divorced","No",0,1.48648
20,0.49055,700,56,1,8.02,24,"High School","Self-employed","Married","No",1,0.948
24,0.70287,625,87,4,6.54,12,"Master's","Part-time","Divorced","Yes",0,0.90651
22,0.29288,345,89,3,14.75,36,"Bachelor's","Self-employed","Married","No",0,0.26687
18,1.6279,815,7,3,24.04,36,"PhD","Part-time","Single","No",1,0.97514
30,1.55562,798,5,1,17.98,12,"PhD","Part-time","Married","Yes",0,0.58391
40,0.16198,387,97,3,10.54,24,"High School","Unemployed","Divorced","No",0,0.943
41,0.97572,437,60,1,14.43,48,"Master's","Full-time","Divorced","Yes",0,0.97415
31,1.29218,671,87,4,16.47,36,"Bachelor's","Part-time","Married","No",0,0.46849
42,2.44725,613,8,2,6.12,24,"Master's","Full-time","Divorced","Yes",1,0.5569
52,2.39902,683,104,2,2.16,48,"PhD","Full-time","Divorced","Yes",0,0.18992
43,0.87048,719,74,2,8.85,48,"High School","Self-employed","Single","No",0,0.20764
61,1.31703,705,16,3,8.74,48,"Bachelor's","Unemployed","Divorced","Yes",0,0.27157
57,1.13627,676,17,4,4,36,"High School","Part-time","Divorced","Yes",0,0.50875
37,0.64484,357,79,2,15.35,12,"Bachelor's","Full-time","Single","Yes",0,0.23427
67,0.36572,755,46,3,12.21,60,"Bachelor's","Part-time","Married","Yes",0,0.1714
31,0.08992,382,75,3,11.58,24,"High School","Self-employed","Married","No",0,1.22323
53,2.48527,599,112,2,2.04,60,"Master's","Self-employed","Single","No",0,0.33643
42,2.24335,307,61,1,17.7,36,"PhD","Full-time","Single","No",0,0.88481
37,2.03375,592,99,4,7.42,36,"PhD","Self-employed","Divorced","No",0,1.10392
68,1.15318,765,0,4,15.93,48,"High School","Full-time","Divorced","Yes",1,0.62054
52,1.2984,693,101,1,10.23,24,"PhD","Full-time","Married","Yes",0,0.49154
24,1.0941,734,44,3,11.05,12,"High School","Unemployed","Divorced","No",0,0.47441
66,0.89827,671,97,3,23.7,12,"PhD","Part-time","Single","No",0,0.83111
18,2.01011,460,74,3,2.55,48,"PhD","Self-employed","Single","No",0,1.25544
57,1.44351,768,5,4,8.92,24,"PhD","Part-time","Single","Yes",0,0.79037
59,0.12205,782,100,1,16.89,36,"High School","Full-time","Married","Yes",0,0.48777
36,0.33423,607,5,4,23.75,12,"Bachelor's","Full-time","Single","Yes",0,0.8514
26,1.9899,505,102,4,10,12,"Bachelor's","Unemployed","Married","No",0,1.11678
25,1.56226,563,11,4,7.09,48,"High School","Full-time","Divorced","No",1,0.69438
59,0.78666,411,115,1,8.06,36,"PhD","Self-employed","Married","No",0,0.92756
63,0.52119,699,41,1,14.92,24,"High School","Part-time","Divorced","No",0,1.03799
38,1.11098,367,65,4,14.88,60,"Master's","Self-employed","Single","Yes",1,0.87599
59,0.48725,461,100,1,17.96,48,"Master's","Self-employed","Single","Yes",0,0.90081
57,2.29169,445,62,1,23.31,48,"Master's","Unemployed","Married","No",0,0.66156
67,1.46233,652,113,4,15.19,12,"PhD","Full-time","Single","Yes",0,0.74847
25,0.30088,683,35,1,11.14,60,"Bachelor's","Part-time","Divorced","No",0,0.70312
37,1.21729,557,2,4,11.62,36,"Master's","Self-employed","Married","Yes",0,0.73515
50,1.37343,788,27,2,3.24,24,"High School","Full-time","Divorced","No",0,0.33163
28,2.44288,717,55,3,6.76,12,"PhD","Full-time","Divorced","Yes",0,0.47541
40,0.98973,587,3,3,23.74,48,"Bachelor's","Full-time","Single","No",0,0.92558
31,0.70865,315,25,2,12.56,48,"Master's","Part-time","Divorced","No",0,1.38004
47,2.00724,766,84,4,9.19,48,"High School","Part-time","Divorced","Yes",0,0.67476
20,0.38311,362,4,4,22.6,60,"Master's","Part-time","Single","No",1,1.02119
26,0.4269,415,119,4,14.21,48,"High School","Part-time","Married","No",0,0.76666
20,1.56092,431,7,4,5.99,48,"Bachelor's","Part-time","Divorced","No",0,0.84655
54,0.06456,320,98,2,22.24,24,"High School","Part-time","Divorced","No",0,0.9194
65,1.19452,708,93,4,21.61,60,"PhD","Self-employed","Single","Yes",0,1.26067
22,2.33936,755,118,3,15.02,24,"Master's","Unemployed","Single","Yes",1,0.24681
46,0.54977,750,71,2,3,12,"Master's","Full-time","Divorced","No",0,1.43093
67,1.22433,656,26,3,12.17,12,"Bachelor's","Full-time","Divorced","Yes",0,0.28635
43,0.7572,383,16,3,16.71,12,"PhD","Self-employed","Divorced","Yes",1,0.58903
31,1.14025,326,18,1,12.52,48,"Master's","Part-time","Divorced","Yes",0,0.27742
68,2.2519,828,70,2,8.69,36,"Master's","Part-time","Divorced","No",0,0.73269
32,1.42894,491,114,3,3.81,48,"Bachelor's","Unemployed","Single","Yes",0,0.7304
63,2.33764,677,33,1,24.54,24,"PhD","Full-time","Single","No",0,0.51148
32,1.15654,362,15,1,23.12,36,"Bachelor's","Self-employed","Married","No",1,0.34136
35,0.68801,300,50,2,10.78,36,"PhD","Full-time","Single","Yes",0,0.19108
47,1.3083,692,65,3,12.55,36,"Bachelor's","Unemployed","Married","No",0,0.5593
41,0.56692,510,52,2,2.87,36,"PhD","Full-time","Divorced","No",0,0.53799
58,2.27337,583,1,2,14.14,36,"High School","Self-employed","Divorced","Yes",1,0.28356
57,1.84864,611,89,4,16.43,12,"PhD","Unemployed","Divorced","No",0,1.38389
54,1.52248,683,118,4,14.19,48,"High School","Part-time","Married","No",0,1.29608
65,2.23091,829,10,3,23.6,24,"Bachelor's","Self-employed","Married","No",0,0.2596
46,0.22735,804,98,4,11.35,48,"High School","Part-time","Married","Yes",0,1.44544
41,1.5241,420,115,1,23.18,24,"Master's","Part-time","Divorced","No",0,0.78655
32,0.55492,750,14,4,10.35,24,"High School","Part-time","Married","No",0,1.46639
24,1.48167,327,82,1,7.18,12,"Bachelor's","Unemployed","Divorced","Yes",0,0.69905
50,2.20135,393,111,3,7.52,24,"High School","Full-time","Married","Yes",0,0.49243
63,0.64874,709,24,4,8.35,36,"High School","Part-time","Divorced","Yes",0,1.04263
22,2.15746,502,32,2,10.07,24,"PhD","Self-employed","Divorced","Yes",1,1.15926
39,1.28148,540,62,1,19.2,12,"PhD","Part-time","Divorced","Yes",0,0.637
69,2.40889,759,65,1,7.75,36,"PhD","Self-employed","Divorced","No",0,1.46507
66,2.35023,425,46,1,18.98,12,"High School","Full-time","Married","Yes",0,1.19413
62,0.82976,718,58,4,14.79,24,"Master's","Unemployed","Divorced","Yes",0,0.99499
20,2.24161,455,112,1,23.94,12,"Master's","Full-time","Single","Yes",0,0.64404
36,2.2005,419,117,2,17.57,24,"Bachelor's","Full-time","Single","No",0,0.91809
40,0.72364,594,40,4,10.85,36,"High School","Part-time","Divorced","Yes",0,0.68034
38,1.2884,806,117,2,9.72,24,"High School","Part-time","Single","Yes",0,0.29799
46,0.3303,839,101,2,14.53,12,"Master's","Self-employed","Married","No",0,0.87218
31,1.1643,301,59,1,8.87,36,"PhD","Self-employed","Divorced","No",0,1.28325
47,2.30127,475,116,2,14.59,12,"Bachelor's","Part-time","Married","Yes",0,0.46962
53,2.26144,340,116,4,13.95,36,"High School","Unemployed","Married","No",0,1.33209
62,2.20698,439,84,1,10.87,24,"Bachelor's","Self-employed","Single","No",0,1.12434
25,1.12171,404,63,3,23.28,60,"Master's","Full-time","Married","Yes",0,0.31268
67,0.70385,394,79,3,20.38,24,"Master's","Full-time","Single","Yes",0,0.47091
33,0.15076,315,68,1,11.59,36,"PhD","Unemployed","Divorced","Yes",0,0.43089
59,0.15979,303,31,2,20,12,"PhD","Full-time","Divorced","No",1,0.78301
56,2.49337,566,72,4,21.47,24,"PhD","Full-time","Married","No",0,0.8888
55,1.17361,693,65,1,13.38,60,"High School","Self-employed","Single","No",0,0.77279
37,0.23979,462,35,4,3.35,24,"Bachelor's","Unemployed","Married","No",0,0.25964
23,0.76188,618,25,4,11.3,12,"High School","Self-employed","Divorced","No",1,0.76138
62,2.37476,739,105,2,22.3,12,"Bachelor's","Part-time","Divorced","Yes",0,0.39228
18,2.40736,393,18,1,14.06,12,"Master's","Full-time","Divorced","Yes",0,0.59794
61,0.88161,446,2,1,4.54,36,"High School","Full-time","Divorced","No",0,1.26807
19,1.11703,664,4,2,8.38,60,"PhD","Self-employed","Single","No",0,0.4475
46,0.32206,631,59,1,10.35,36,"High School","Full-time","Single","No",0,0.65117
66,1.67214,693,12,2,17.93,48,"PhD","Full-time","Divorced","No",1,0.65905
39,0.63705,672,116,2,20.25,36,"PhD","Unemployed","Single","No",0,1.4918
44,1.586,703,73,4,13.98,60,"Master's","Part-time","Single","No",0,0.77217
59,0.83974,338,72,3,20.77,12,"High School","Self-employed","Single","Yes",0,0.23129
29,1.42122,357,113,2,8.76,24,"Master's","Full-time","Married","No",0,0.67892
55,1.83967,612,3,2,5.73,36,"High School","Full-time","Married","No",0,0.70338
25,0.87912,626,47,4,23.43,48,"PhD","Self-employed","Single","Yes",0,0.22551
55,0.27702,802,114,4,15.53,60,"PhD","Full-time","Divorced","Yes",0,0.53184
69,1.02962,306,47,4,2.03,60,"PhD","Self-employed","Married","No",0,0.90087
36,1.54579,488,7,1,2.54,48,"PhD","Full-time","Divorced","No",1,0.30834
22,1.03835,584,13,4,15.53,48,"High School","Unemployed","Divorced","No",0,1.1913
64,0.42925,796,108,2,11.9,36,"Bachelor's","Part-time","Single","No",0,1.36997
22,2.20404,473,68,4,11.36,12,"PhD","Part-time","Married","Yes",0,1.0007
59,0.73014,479,47,3,2.78,24,"PhD","Self-employed","Divorced","No",0,1.49551
59,0.31267,396,61,1,6.54,48,"Master's","Unemployed","Single","Yes",0,0.90914
34,1.99069,589,47,1,5.88,24,"PhD","Unemployed","Married","No",0,1.15817
62,0.9268,705,95,2,24.01,48,"Master's","Full-time","Married","No",0,0.88271
33,1.22511,663,119,2,8.8,60,"Bachelor's","Self-employed","Divorced","No",0,0.25711
41,0.35762,601,2,3,13.55,36,"Bachelor's","Unemployed","Married","No",1,0.47136
63,1.11032,789,69,3,14.13,48,"High School","Full-time","Single","Yes",0,0.55485
60,1.11296,441,84,2,18.89,60,"Master's","Self-employed","Single","No",0,0.99088
68,1.44639,801,106,1,12.46,48,"Bachelor's","Self-employed","Divorced","Yes",0,0.90932
21,0.5996,535,5,2,4.03,48,"High School","Self-employed","Divorced","Yes",0,0.30944
67,0.36193,570,90,4,17.56,48,"Bachelor's","Full-time","Divorced","No",0,1.01523
34,1.62401,553,70,3,18.72,48,"Bachelor's","Part-time","Married","No",1,0.4969
58,0.62185,844,105,4,9.33,36,"High School","Part-time","Divorced","Yes",0,0.30605
39,2.40801,442,81,4,20.23,12,"PhD","Full-time","Single","No",1,0.86403
39,2.22319,613,0,1,24.15,48,"High School","Self-employed","Married","Yes",0,0.81113
62,1.11582,796,46,1,8.73,60,"High School","Unemployed","Single","Yes",0,0.73713
66,2.14216,512,29,2,18.75,36,"Bachelor's","Unemployed","Divorced","No",0,1.3347
37,1.87698,826,70,4,18.22,36,"High School","Full-time","Divorced","Yes",0,1.08934
25,2.38622,844,24,1,8.31,36,"High School","Full-time","Divorced","Yes",0,0.85294
54,1.71662,668,12,4,8.16,24,"Master's","Unemployed","Single","No",0,0.19921
50,0.43413,733,86,4,3.16,36,"Bachelor's","Self-employed","Married","No",0,1.30946
35,0.05684,630,31,2,8.82,36,"PhD","Part-time","Single","No",0,0.33526
38,2.26544,378,64,1,16.89,12,"PhD","Full-time","Married","No",0,1.30929
34,1.30761,661,101,3,24.25,24,"PhD","Full-time","Single","No",0,0.20154
60,1.77749,600,83,3,22.7,60,"PhD","Part-time","Divorced","No",0,0.71204
67,0.98254,709,30,2,21.2,60,"Bachelor's","Part-time","Single","No",0,0.91218
52,1.51443,778,1,4,15.6,24,"PhD","Part-time","Single","No",0,0.2961
27,0.05183,324,14,4,22.6,12,"PhD","Full-time","Single","Yes",0,1.40719
46,2.31737,578,18,3,3.56,12,"Master's","Part-time","Single","No",0,1.11515
57,1.9778,731,76,4,18.56,24,"PhD","Part-time","Married","Yes",0,0.60071
24,0.50444,525,46,4,12.2,48,"Bachelor's","Self-employed","Married","Yes",0,1.02594
39,1.09591,665,27,1,19.47,12,"Master's","Unemployed","Divorced","Yes",0,0.88987
25,2.00775,391,9,3,24.17,24,"Master's","Part-time","Single","No",0,0.80344
66,0.7732,535,30,3,8.09,24,"PhD","Part-time","Married","Yes",0,0.17936
22,1.55433,615,111,2,9.53,24,"Master's","Self-employed","Married","Yes",0,1.21132
51,0.39239,829,37,1,17.2,24,"Master's","Full-time","Single","Yes",0,0.35641
38,0.05462,364,107,4,19,24,"Bachelor's","Self-employed","Divorced","Yes",1,0.57983
58,0.23268,479,58,2,15.36,24,"PhD","Part-time","Single","No",0,0.21003
51,0.3409,488,74,4,4.69,60,"PhD","Self-employed","Divorced","No",0,0.38123
62,1.28385,341,52,3,23.47,12,"High School","Full-time","Single","No",0,0.69539
61,1.2323,343,105,1,5.12,24,"Master's","Self-employed","Married","Yes",0,0.68049
25,0.90504,780,13,2,5.66,12,"Bachelor's","Full-time","Married","Yes",0,0.48864
38,1.06217,719,86,2,16.38,60,"Bachelor's","Full-time","Divorced","No",0,0.5367
57,0.33379,597,78,4,20.61,36,"PhD","Full-time","Single","Yes",0,1.27428
37,0.74854,305,57,1,9.96,60,"Master's","Full-time","Single","No",0,0.81923
49,1.52758,530,47,1,11.56,60,"Bachelor's","Self-employed","Married","No",0,1.36355
30,0.20986,726,65,2,19.16,36,"High School","Part-time","Divorced","Yes",0,0.3403
53,1.10352,732,5,1,24.25,36,"Bachelor's","Full-time","Single","No",0,0.81267
69,2.09992,456,106,3,10.68,36,"Master's","Full-time","Single","Yes",0,1.06907
22,2.18137,479,17,4,22.86,60,"Bachelor's","Unemployed","Single","No",1,0.38558
66,0.69812,586,73,1,13.71,24,"Master's","Full-time","Married","Yes",0,1.18664
19,0.29648,515,52,2,3.28,48,"PhD","Part-time","Married","Yes",0,0.60861
26,1.44775,511,14,4,24.87,12,"High School","Self-employed","Married","Yes",1,0.47491
30,1.04577,448,29,3,3.75,12,"High School","Unemployed","Divorced","No",0,1.46439
27,0.1249,830,10,2,9.4,60,"High School","Full-time","Married","No",0,0.79401
57,0.85798,847,23,3,16.41,36,"High School","Self-employed","Single","Yes",0,0.68513
46,0.58269,561,62,3,13.21,36,"PhD","Unemployed","Married","No",0,1.43929
35,0.98366,797,41,3,20.55,24,"Bachelor's","Full-time","Divorced","Yes",0,1.35544
40,0.53234,539,18,3,12.83,60,"Master's","Self-employed","Single","No",0,1.30612
51,2.28689,441,82,2,15.34,24,"Bachelor's","Self-employed","Single","No",0,0.84799
58,0.45207,645,6,2,14.18,24,"High School","Full-time","Single","Yes",0,1.30663
24,1.59731,551,76,4,2.88,36,"Master's","Self-employed","Married","Yes",0,0.37839
40,1.95628,576,48,1,2.2,48,"Bachelor's","Unemployed","Single","No",0,1.47657
60,2.19961,696,32,4,7.16,36,"Bachelor's","Self-employed","Single","Yes",1,0.26025
33,0.19376,562,59,1,18.05,12,"PhD","Self-employed","Single","No",0,0.65024
41,1.16402,670,7,1,14.92,36,"High School","Part-time","Single","No",0,1.21387
36,1.1189,841,68,3,22.43,48,"High School","Part-time","Divorced","No",0,0.19824
52,1.9195,404,28,3,23.9,12,"High School","Part-time","Divorced","No",1,0.54242
61,1.06023,511,82,3,7.19,36,"PhD","Self-employed","Married","Yes",0,0.26526
37,2.00312,479,112,3,18.48,12,"Bachelor's","Unemployed","Married","No",0,0.2934
67,0.10258,331,73,3,7.59,36,"Bachelor's","Part-time","Divorced","Yes",0,1.48767
40,2.39348,439,29,1,18.75,12,"Bachelor's","Full-time","Divorced","No",0,1.27376
24,1.38353,813,67,3,18.42,36,"High School","Unemployed","Divorced","Yes",0,0.30333
57,2.48354,692,76,4,19.57,24,"Bachelor's","Full-time","Single","Yes",0,1.47976
31,1.72573,377,42,3,21.47,24,"Bachelor's","Unemployed","Married","No",0,0.89224
43,2.22569,405,96,1,7.16,60,"Bachelor's","Full-time","Divorced","Yes",0,0.79254
42,2.48252,500,63,4,10.57,48,"PhD","Part-time","Single","Yes",0,0.46034
25,0.54409,328,83,4,14.55,12,"PhD","Unemployed","Married","Yes",0,0.35388
34,1.70007,604,89,2,12.27,36,"Master's","Part-time","Divorced","Yes",0,1.1949
41,1.42615,714,58,4,21.48,12,"Bachelor's","Self-employed","Divorced","No",0,0.82648
53,0.38484,666,44,1,2.12,36,"Bachelor's","Unemployed","Divorced","No",0,0.75619
20,2.2495,458,35,1,16.86,12,"Bachelor's","Unemployed","Married","Yes",0,0.49684
37,0.60815,514,46,3,8.41,36,"High School","Part-time","Divorced","No",0,0.73029
50,2.11095,717,67,2,8.11,24,"PhD","Part-time","Divorced","No",0,1.42343
20,0.83562,461,45,1,15.43,12,"Bachelor's","Part-time","Divorced","Yes",0,1.10556
32,1.28053,487,6,1,24.82,60,"Bachelor's","Full-time","Married","No",1,1.12956
68,2.41104,335,82,4,4.47,12,"Bachelor's","Unemployed","Married","Yes",0,0.70926
30,0.97983,412,13,4,15.02,24,"Master's","Full-time","Married","Yes",0,0.22968
43,0.80615,373,67,4,15.62,36,"Master's","Unemployed","Single","Yes",0,0.72147
26,2.06431,816,105,2,19.65,60,"Master's","Part-time","Divorced","Yes",0,0.3957
45,0.45741,552,112,1,21.87,60,"Master's","Part-time","Single","No",0,1.33913
57,0.81798,695,56,1,19.98,36,"PhD","Unemployed","Single","No",0,0.66318
42,1.27737,306,21,4,4.55,36,"PhD","Unemployed","Single","Yes",0,1.14623
29,1.58435,474,70,4,6.09,60,"PhD","Full-time","Divorced","Yes",0,0.52568
30,0.73479,747,40,2,23.74,60,"High School","Part-time","Married","Yes",0,0.68804
31,0.96284,549,110,1,15.7,48,"Bachelor's","Part-time","Divorced","Yes",0,1.42061
50,1.51163,400,103,1,19.27,60,"Bachelor's","Unemployed","Single","Yes",0,1.27736
61,1.57458,748,19,1,24.46,12,"PhD","Unemployed","Divorced","No",0,0.7532
21,1.69806,695,106,3,17.28,24,"Master's","Unemployed","Single","Yes",0,0.72105
50,0.50363,621,83,3,23.22,12,"Master's","Full-time","Married","Yes",0,0.65078
39,2.03638,532,6,4,23.73,36,"PhD","Full-time","Single","No",0,1.33158
31,1.44721,321,63,3,5.12,60,"Master's","Full-time","Married","Yes",0,0.87631
69,2.00573,684,90,4,19.7,36,"Bachelor's","Part-time","Divorced","Yes",0,0.96834
68,0.41128,635,51,2,15.58,36,"Bachelor's","Full-time","Divorced","No",0,0.34578
31,1.2427,599,15,2,2.24,36,"High School","Unemployed","Divorced","Yes",1,0.36311
19,0.65801,668,100,2,13.44,12,"High School","Full-time","Divorced","No",0,0.79608
50,1.17725,319,71,3,14.22,12,"Master's","Unemployed","Single","No",0,0.5553
29,1.29598,839,27,1,19.15,60,"Master's","Full-time","Married","Yes",0,0.74948
45,0.60428,433,77,2,17.37,24,"High School","Full-time","Married","Yes",0,0.91802
63,1.54926,714,43,4,18.97,36,"High School","Self-employed","Divorced","Yes",0,0.38038
50,1.39125,372,101,2,18.64,24,"Master's","Full-time","Single","Yes",0,0.33414
47,1.8197,327,104,4,4.67,48,"PhD","Self-employed","Single","Yes",0,0.17125
68,0.45894,750,9,2,14.16,12,"Master's","Full-time","Single","Yes",0,0.92595
37,2.00831,351,55,3,11.25,24,"Bachelor's","Unemployed","Single","No",0,1.30088
19,0.64199,561,43,1,14.32,48,"High School","Part-time","Married","Yes",0,1.36782
